Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-18,110.4,110.88,106.09,106.84,287104900,0,0
2020-09-21,104.54,110.19,103.1,110.08,195713800,0,0
2020-09-22,112.68,112.86,109.16,111.81,183055400,0,0
2020-09-23,111.62,112.11,106.77,107.12,150718700,0,0
2020-09-24,105.17,110.25,105.0,108.22,167743300,0,0
2020-09-25,108.43,112.44,107.67,112.28,149736300,0,0
